project,release,maven_reuse,maven_release,class_count,synchronizedMethodsQty_sum,synchronizedMethodsQty_average,synchronizedMethodsQty_stdev,synchronizedMethodsQty_median,synchronizedMethodsQty_min,synchronizedMethodsQty_max,parenthesizedExpsQty_sum,parenthesizedExpsQty_average,parenthesizedExpsQty_stdev,parenthesizedExpsQty_median,parenthesizedExpsQty_min,parenthesizedExpsQty_max,lcom_sum,lcom_average,lcom_stdev,lcom_median,lcom_min,lcom_max,publicMethodsQty_sum,publicMethodsQty_average,publicMethodsQty_stdev,publicMethodsQty_median,publicMethodsQty_min,publicMethodsQty_max,staticFieldsQty_sum,staticFieldsQty_average,staticFieldsQty_stdev,staticFieldsQty_median,staticFieldsQty_min,staticFieldsQty_max,publicFieldsQty_sum,publicFieldsQty_average,publicFieldsQty_stdev,publicFieldsQty_median,publicFieldsQty_min,publicFieldsQty_max,lambdasQty_sum,lambdasQty_average,lambdasQty_stdev,lambdasQty_median,lambdasQty_min,lambdasQty_max,logStatementsQty_sum,logStatementsQty_average,logStatementsQty_stdev,logStatementsQty_median,logStatementsQty_min,logStatementsQty_max,tryCatchQty_sum,tryCatchQty_average,tryCatchQty_stdev,tryCatchQty_median,tryCatchQty_min,tryCatchQty_max,maxNestedBlocksQty_sum,maxNestedBlocksQty_average,maxNestedBlocksQty_stdev,maxNestedBlocksQty_median,maxNestedBlocksQty_min,maxNestedBlocksQty_max,wmc_sum,wmc_average,wmc_stdev,wmc_median,wmc_min,wmc_max,rfc_sum,rfc_average,rfc_stdev,rfc_median,rfc_min,rfc_max,privateMethodsQty_sum,privateMethodsQty_average,privateMethodsQty_stdev,privateMethodsQty_median,privateMethodsQty_min,privateMethodsQty_max,defaultMethodsQty_sum,defaultMethodsQty_average,defaultMethodsQty_stdev,defaultMethodsQty_median,defaultMethodsQty_min,defaultMethodsQty_max,nosi_sum,nosi_average,nosi_stdev,nosi_median,nosi_min,nosi_max,visibleFieldsQty_sum,visibleFieldsQty_average,visibleFieldsQty_stdev,visibleFieldsQty_median,visibleFieldsQty_min,visibleFieldsQty_max,uniqueWordsQty_sum,uniqueWordsQty_average,uniqueWordsQty_stdev,uniqueWordsQty_median,uniqueWordsQty_min,uniqueWordsQty_max,synchronizedFieldsQty_sum,synchronizedFieldsQty_average,synchronizedFieldsQty_stdev,synchronizedFieldsQty_median,synchronizedFieldsQty_min,synchronizedFieldsQty_max,stringLiteralsQty_sum,stringLiteralsQty_average,stringLiteralsQty_stdev,stringLiteralsQty_median,stringLiteralsQty_min,stringLiteralsQty_max,anonymousClassesQty_sum,anonymousClassesQty_average,anonymousClassesQty_stdev,anonymousClassesQty_median,anonymousClassesQty_min,anonymousClassesQty_max,mathOperationsQty_sum,mathOperationsQty_average,mathOperationsQty_stdev,mathOperationsQty_median,mathOperationsQty_min,mathOperationsQty_max,returnQty_sum,returnQty_average,returnQty_stdev,returnQty_median,returnQty_min,returnQty_max,modifiers_sum,modifiers_average,modifiers_stdev,modifiers_median,modifiers_min,modifiers_max,lcc_sum,lcc_average,lcc_stdev,lcc_median,lcc_min,lcc_max,abstractMethodsQty_sum,abstractMethodsQty_average,abstractMethodsQty_stdev,abstractMethodsQty_median,abstractMethodsQty_min,abstractMethodsQty_max,protectedFieldsQty_sum,protectedFieldsQty_average,protectedFieldsQty_stdev,protectedFieldsQty_median,protectedFieldsQty_min,protectedFieldsQty_max,numbersQty_sum,numbersQty_average,numbersQty_stdev,numbersQty_median,numbersQty_min,numbersQty_max,staticMethodsQty_sum,staticMethodsQty_average,staticMethodsQty_stdev,staticMethodsQty_median,staticMethodsQty_min,staticMethodsQty_max,assignmentsQty_sum,assignmentsQty_average,assignmentsQty_stdev,assignmentsQty_median,assignmentsQty_min,assignmentsQty_max,finalFieldsQty_sum,finalFieldsQty_average,finalFieldsQty_stdev,finalFieldsQty_median,finalFieldsQty_min,finalFieldsQty_max,dit_sum,dit_average,dit_stdev,dit_median,dit_min,dit_max,totalMethodsQty_sum,totalMethodsQty_average,totalMethodsQty_stdev,totalMethodsQty_median,totalMethodsQty_min,totalMethodsQty_max,loopQty_sum,loopQty_average,loopQty_stdev,loopQty_median,loopQty_min,loopQty_max,defaultFieldsQty_sum,defaultFieldsQty_average,defaultFieldsQty_stdev,defaultFieldsQty_median,defaultFieldsQty_min,defaultFieldsQty_max,loc_sum,loc_average,loc_stdev,loc_median,loc_min,loc_max,totalFieldsQty_sum,totalFieldsQty_average,totalFieldsQty_stdev,totalFieldsQty_median,totalFieldsQty_min,totalFieldsQty_max,cbo_sum,cbo_average,cbo_stdev,cbo_median,cbo_min,cbo_max,variablesQty_sum,variablesQty_average,variablesQty_stdev,variablesQty_median,variablesQty_min,variablesQty_max,protectedMethodsQty_sum,protectedMethodsQty_average,protectedMethodsQty_stdev,protectedMethodsQty_median,protectedMethodsQty_min,protectedMethodsQty_max,tcc_sum,tcc_average,tcc_stdev,tcc_median,tcc_min,tcc_max,privateFieldsQty_sum,privateFieldsQty_average,privateFieldsQty_stdev,privateFieldsQty_median,privateFieldsQty_min,privateFieldsQty_max,finalMethodsQty_sum,finalMethodsQty_average,finalMethodsQty_stdev,finalMethodsQty_median,finalMethodsQty_min,finalMethodsQty_max,innerClassesQty_sum,innerClassesQty_average,innerClassesQty_stdev,innerClassesQty_median,innerClassesQty_min,innerClassesQty_max,comparisonsQty_sum,comparisonsQty_average,comparisonsQty_stdev,comparisonsQty_median,comparisonsQty_min,comparisonsQty_max
gradle-git,1.7.2,15,"Jun, 2017",2,0,0,0,0,0,0,2,1,1.414213562,1,0,2,3,1.5,2.121320344,1.5,0,3,9,4.5,3.535533906,4.5,0,7,3,1.5,2.121320344,1.5,0,3,1,0.5,0.707106781,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.707106781,0.5,0,1,4,2,1.414213562,2,0,3,17,8.5,0.707106781,8.5,0,9,4,2,2.828427125,2,0,4,1,0.5,0.707106781,0.5,0,1,0,0,0,0,0,0,1,0.5,0.707106781,0.5,0,1,0,0,0,0,0,0,78,39,7.071067812,39,0,44,0,0,0,0,0,0,2,1,1.414213562,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,3.5,0.707106781,3.5,0,4,18,9,11.3137085,9,0,17,0,0,0,0,0,0,9,4.5,3.535533906,4.5,0,7,3,1.5,2.121320344,1.5,0,3,1,0.5,0.707106781,0.5,0,1,2,1,1.414213562,1,0,2,9,4.5,0.707106781,4.5,0,5,1,0.5,0.707106781,0.5,0,1,2,1,0,1,0,1,10,5,2.828427125,5,0,7,1,0.5,0.707106781,0.5,0,1,0,0,0,0,0,0,61,30.5,2.121320344,30.5,0,32,0,0,0,0,0,0,4,2,0,2,0,2,5,2.5,0.707106781,2.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,2
grgit,1.7.0,13,"May, 2016",0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
grizzled-slf4j,1.0.2,49,"Apr, 2014",0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
gson,2.8.5,,,815,30,0.036809816,0.413078134,0,0,7,239,0.293251534,1.66438074,0,0,28,13680,16.78527607,292.1352414,0,0,8256,2122,2.603680982,7.513377828,1,0,124,900,1.104294479,3.295841876,0,0,52,200,0.245398773,2.163160466,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,340,0.417177914,3.752175374,0,0,90,324,0.397546012,0.862254553,0,0,7,4649,5.704294479,19.15242541,1,0,360,3775,4.63190184,9.792789966,0,0,89,206,0.252760736,1.085945103,0,0,16,152,0.186503067,0.588225514,0,0,6,798,0.979141104,3.93757265,0,0,49,343,0.420858896,1.923169668,0,0,36,19450,23.86503067,44.37888514,10,0,481,0,0,0,0,0,0,3763,4.617177914,19.68463149,0,0,358,311,0.381595092,2.297933033,0,0,38,539,0.661349693,3.840897935,0,0,89,1191,1.461349693,4.961093408,0,0,82,15408,18.90552147,112.8050967,1,-1,1033,-137.131049,-0.228933304,0.764335905,0,-1,1,2339,2.86993865,7.675082813,1,0,124,428,0.525153374,1.918241144,0,0,42,1913,2.347239264,9.532611251,0,0,129,122,0.149693252,1.0241179,0,0,21,4860,5.963190184,19.42031206,1,0,301,463,0.56809816,2.529912098,0,0,52,1094,1.342331288,0.795788647,1,0,8,2539,3.115337423,8.127754365,1,0,129,231,0.283435583,1.267398029,0,0,19,1,0.001226994,0.035028472,0,0,1,28658,35.16319018,101.164736,7,0,1585,6,0.007361963,0.121193026,0,0,2,2309,2.833128834,3.593487407,2,0,28,4165,5.110429448,14.80105836,1,0,157,59,0.072392638,0.268604626,0,0,2,-145.0395681,-0.242136174,0.748404904,0,-1,1,128,0.157055215,1.877022883,0,0,52,13,0.01595092,0.15982422,0,0,3,310,0.380368098,1.649244444,0,0,21,820,1.006134969,6.390542125,0,0,149
guava,18,5806,"Aug, 2014",6484,489,0.088267148,0.842737885,0,0,25,1354,0.244404332,1.291931754,0,0,28,1379655,249.0351986,13256.86573,0,0,980700,21815,3.937725632,21.85536296,1,0,1401,4058,0.732490975,2.451904272,0,0,93,1469,0.265162455,2.011677246,0,0,90,0,0,0,0,0,0,77,0.013898917,0.180233637,0,0,7,2495,0.450361011,2.879895552,0,0,114,2430,0.438628159,0.844053953,0,0,10,39481,7.126534296,24.9444094,2,0,1401,36962,6.671841155,15.521188,2,0,365,1655,0.298736462,1.826001799,0,0,106,3514,0.634296029,2.013364077,0,0,60,24320,4.389891697,20.96387351,0,0,451,1421,0.256498195,1.070583212,0,0,26,155444,28.05848375,51.31937011,11,0,565,0,0,0,0,0,0,17650,3.185920578,20.26631903,0,0,630,2120,0.38267148,5.109572742,0,0,333,3215,0.58032491,2.659915397,0,0,49,13268,2.394945848,5.717358247,1,0,118,358492,64.70974729,241.7407956,1,-1,1036,-952,-0.258836324,0.438055081,0,-1,0,26937,4.862274368,21.99221052,1,0,1401,2287,0.412815884,1.208898379,0,0,17,44559,8.043140794,270.2298182,0,0,20020,2681,0.483935018,2.714213729,0,0,79,27374,4.941155235,26.6360966,0,0,1400,2845,0.513537906,2.215097985,0,0,93,10622,1.91732852,2.738337098,1,0,118,28551,5.153610108,22.24847081,2,0,1401,2906,0.524548736,2.553902082,0,0,69,32,0.005776173,0.149510341,0,0,6,224378,40.50144404,133.276365,10,0,5605,35,0.00631769,0.177635104,0,0,8,20932,3.77833935,5.325372825,2,0,85,24771,4.471299639,25.60919943,0,0,1400,1567,0.282851986,1.009770909,0,0,23,-952,-0.258836324,0.438055081,0,-1,0,318,0.057400722,1.643521783,0,0,81,388,0.070036101,0.475966153,0,0,13,1680,0.303249097,1.989888754,0,0,68,2545,0.459386282,2.469816415,0,0,95
guava,2.8.0,,,973,53,0.054470709,0.437577803,0,0,7,1246,1.28057554,6.066198842,0,0,142,80883,83.1274409,756.9085219,0,0,15576,4171,4.286742035,11.53519391,2,0,177,1837,1.887975334,3.678822347,0,0,39,436,0.448098664,1.992431405,0,0,38,944,0.970195272,5.293848404,0,0,86,42,0.043165468,0.410994791,0,0,8,428,0.43987667,2.484878711,0,0,41,688,0.70709147,1.036137706,0,0,7,9671,9.939362795,25.65855697,4,0,512,10228,10.51181912,20.65389674,3,0,290,560,0.575539568,1.821142928,0,0,17,724,0.744090442,2.770226499,0,0,53,4226,4.343268243,16.20049752,0,0,177,957,0.983556012,2.630099768,0,0,39,37319,38.35457348,56.82534675,24,0,701,0,0,0,0,0,0,3780,3.884892086,13.23206558,0,0,180,190,0.195272354,1.385884993,0,0,32,1526,1.568345324,5.113999288,0,0,68,2783,2.860226105,7.483520355,1,0,155,75264,77.35251799,252.4452678,16,-1,1034,-88,-0.117962466,0.322780086,0,-1,0,5156,5.299075026,12.61237427,2,0,177,720,0.739979445,2.1075054,0,0,20,6762,6.949640288,33.61379745,0,0,637,390,0.400822199,1.409724947,0,0,15,7445,7.651593011,22.22279837,1,0,359,1186,1.218910586,2.823397984,0,0,38,1635,1.68036999,1.676389868,1,0,22,5706,5.864337102,12.87659425,3,0,177,685,0.704008222,2.892937755,0,0,40,41,0.042137718,0.491985514,0,0,11,53387,54.8684481,149.7396889,16,0,2780,6,0.006166495,0.135942833,0,0,4,4372,4.49331963,5.140736062,3,0,47,7572,7.782117163,22.30225885,1,0,266,251,0.257965057,1.852106678,0,0,53,-88,-0.117962466,0.322780086,0,-1,0,119,0.122302158,1.525653757,0,0,38,50,0.051387461,0.427249104,0,0,11,338,0.347379239,1.554426117,0,0,33,1417,1.456320658,6.89600839,0,0,157
gwt,2.5.1,,,3412,43,0.012602579,0.153583301,0,0,3,437,0.128077374,0.965398159,0,0,34,95656,28.03516999,226.6510302,0,0,6000,9630,2.822391559,6.698656085,1,0,119,2275,0.666764361,3.037347469,0,0,105,758,0.222157093,1.922845185,0,0,59,0,0,0,0,0,0,281,0.082380534,1.189377603,0,0,48,1384,0.405627198,3.606592386,0,0,138,927,0.27176781,0.636400997,0,0,6,18911,5.542497069,14.71195971,2,0,256,19227,5.635111372,12.04606999,1,0,152,1210,0.354630715,2.211540375,0,0,68,1319,0.386576788,2.179372475,0,0,52,21764,6.37866354,23.94000102,0,0,407,522,0.152989449,1.88064713,0,0,102,81954,24.02638522,35.49400687,13,0,458,0,0,0,0,0,0,21887,6.416593374,27.93133086,0,0,687,1177,0.3450601,2.637028468,0,0,104,2296,0.673116388,3.545536402,0,0,98,4108,1.203985932,4.706639515,0,0,141,89482,26.23336265,155.1658617,1,-1,1034,-58.69864383,-0.030668048,0.544824308,0,-1,1,11912,3.491207503,7.196263083,1,0,121,1385,0.405920281,1.959334484,0,0,49,25267,7.40750513,57.50661206,0,0,1767,893,0.261723329,2.12696396,0,0,68,20050,5.87804163,28.76745302,0,0,873,890,0.26084408,1.909553261,0,0,59,7345,2.152696366,2.687770778,1,0,116,13078,3.832942556,8.046711641,1,0,123,1193,0.3496483,2.211207134,0,0,55,111,0.032532239,0.404963677,0,0,15,128111,37.5471864,110.3517595,9,0,2363,5,0.001465416,0.051345636,0,0,2,15416,4.518171161,6.113359733,3,0,64,17912,5.251245969,26.58061209,0,0,854,919,0.269343494,1.105073894,0,0,20,-81.57797498,-0.042621722,0.530357241,0,-1,1,257,0.075322392,1.161742611,0,0,59,91,0.026670574,0.313187609,0,0,8,1009,0.295807681,1.735478506,0,0,43,1829,0.536049238,4.058158478,0,0,127
hamcrest-core,1.3,3619,"Jul, 2012",224,12,0.053571429,0.294624051,0,0,2,29,0.129464286,1.000550377,0,0,14,1512,6.75,12.71135222,1,0,91,788,3.517857143,2.698553483,3,0,17,195,0.870535714,1.321172084,0,0,8,32,0.142857143,0.516232347,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0.089285714,0.391697958,0,0,4,101,0.450892857,0.818671738,0,0,4,1252,5.589285714,5.421355499,4,0,48,1264,5.642857143,6.174382405,4,0,36,79,0.352678571,1.031213297,0,0,6,26,0.116071429,0.564185761,0,0,6,1268,5.660714286,11.60489581,1,0,67,10,0.044642857,0.264096492,0,0,2,7776,34.71428571,27.58108423,32,0,168,0,0,0,0,0,0,1481,6.611607143,12.21357214,2,0,111,23,0.102678571,0.370664129,0,0,3,101,0.450892857,1.523301556,0,0,16,477,2.129464286,2.968629355,1,0,28,12942,57.77678571,230.6677268,1,-1,1025,-6,-0.032786885,0.178566925,0,-1,0,909,4.058035714,2.772579974,4,0,17,178,0.794642857,1.299454131,0,0,8,444,1.982142857,6.195589554,0,0,42,180,0.803571429,1.425830169,0,0,7,526,2.348214286,3.853156231,1,0,22,145,0.647321429,1.086274732,0,0,7,452,2.017857143,1.02421045,2,0,5,988,4.410714286,3.071797275,4,0,17,60,0.267857143,0.857383054,0,0,7,1,0.004464286,0.06681531,0,0,1,5750,25.66964286,25.48907737,19,0,165,0,0,0,0,0,0,910,4.0625,2.892021652,4,0,13,486,2.169642857,3.431294629,1,0,20,95,0.424107143,0.723437923,0,0,5,-6,-0.032786885,0.178566925,0,-1,0,6,0.026785714,0.187493327,0,0,2,12,0.053571429,0.278988748,0,0,2,50,0.223214286,0.864961405,0,0,8,81,0.361607143,1.821286469,0,0,24
hamcrest-library,1.3,4559,"Jul, 2012",224,12,0.053571429,0.294624051,0,0,2,29,0.129464286,1.000550377,0,0,14,1512,6.75,12.71135222,1,0,91,788,3.517857143,2.698553483,3,0,17,195,0.870535714,1.321172084,0,0,8,32,0.142857143,0.516232347,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0.089285714,0.391697958,0,0,4,101,0.450892857,0.818671738,0,0,4,1252,5.589285714,5.421355499,4,0,48,1264,5.642857143,6.174382405,4,0,36,79,0.352678571,1.031213297,0,0,6,26,0.116071429,0.564185761,0,0,6,1268,5.660714286,11.60489581,1,0,67,10,0.044642857,0.264096492,0,0,2,7776,34.71428571,27.58108423,32,0,168,0,0,0,0,0,0,1481,6.611607143,12.21357214,2,0,111,23,0.102678571,0.370664129,0,0,3,101,0.450892857,1.523301556,0,0,16,477,2.129464286,2.968629355,1,0,28,12942,57.77678571,230.6677268,1,-1,1025,-6,-0.032786885,0.178566925,0,-1,0,909,4.058035714,2.772579974,4,0,17,178,0.794642857,1.299454131,0,0,8,444,1.982142857,6.195589554,0,0,42,180,0.803571429,1.425830169,0,0,7,526,2.348214286,3.853156231,1,0,22,145,0.647321429,1.086274732,0,0,7,452,2.017857143,1.02421045,2,0,5,988,4.410714286,3.071797275,4,0,17,60,0.267857143,0.857383054,0,0,7,1,0.004464286,0.06681531,0,0,1,5750,25.66964286,25.48907737,19,0,165,0,0,0,0,0,0,910,4.0625,2.892021652,4,0,13,486,2.169642857,3.431294629,1,0,20,95,0.424107143,0.723437923,0,0,5,-6,-0.032786885,0.178566925,0,-1,0,6,0.026785714,0.187493327,0,0,2,12,0.053571429,0.278988748,0,0,2,50,0.223214286,0.864961405,0,0,8,81,0.361607143,1.821286469,0,0,24
hibernate-core,4.3.11.Final,229,"Aug, 2015",9242,504,0.054598635,0.859746384,0,0,43,4464,0.48358791,2.193096219,0,0,112,551971,59.79536345,1024.182146,1,0,67528,45903,4.972700682,8.696240957,3,0,193,17559,1.902177446,3.935843376,1,0,122,2367,0.25641859,1.157857756,0,0,41,0,0,0,0,0,0,2064,0.22359441,1.609778527,0,0,46,2531,0.274184812,1.358056026,0,0,35,5121,0.554761131,1.001843817,0,0,8,86154,9.333116672,22.85480257,4,0,868,79344,8.595385115,21.72516144,2,0,689,3644,0.394756798,2.1535706,0,0,105,1836,0.198895028,3.990682929,0,0,368,12895,1.39692341,7.478620105,0,0,295,1209,0.130971726,1.960240085,0,0,122,344520,37.32206695,47.8107427,24,0,1103,0,0,0,0,0,0,48918,5.299317517,25.24300099,1,0,1000,863,0.093489329,1.900969665,0,0,177,6680,0.723648575,2.383584787,0,0,61,34250,3.710323909,8.580075979,2,0,356,443708,48.06716499,212.0895159,1,-1,1036,-747,-0.096912299,0.295857501,0,-1,0,51829,5.614667967,10.30478317,4,0,368,14383,1.55811938,3.07889346,1,0,93,23111,2.503629076,13.17394104,0,0,609,1903,0.20615318,1.849678327,0,0,88,71084,7.700574152,26.03000683,2,0,1097,5673,0.614559636,2.193277506,0,0,81,15872,1.719423681,1.422360791,1,0,56,55411,6.002708266,11.05613046,4,0,368,3450,0.373740656,2.209518332,0,0,86,416,0.04506554,0.599318206,0,0,29,421749,45.68833279,116.7711016,20,0,3943,39,0.004224894,0.095871002,0,0,4,56845,6.158054382,8.038277864,4,0,180,53366,5.781172137,17.37121306,2,0,593,4028,0.436355758,2.210345982,0,0,124,-747,-0.096912299,0.295857501,0,-1,0,1551,0.168020799,0.999046118,0,0,40,422,0.045715524,0.652747178,0,0,33,1247,0.135088289,0.783119917,0,0,24,14121,1.529736757,6.884794017,0,0,363
hibernate-entitymanager,4.3.11.Final,135,"Aug, 2015",9242,504,0.054598635,0.859746384,0,0,43,4464,0.48358791,2.193096219,0,0,112,551971,59.79536345,1024.182146,1,0,67528,45903,4.972700682,8.696240957,3,0,193,17559,1.902177446,3.935843376,1,0,122,2367,0.25641859,1.157857756,0,0,41,0,0,0,0,0,0,2064,0.22359441,1.609778527,0,0,46,2531,0.274184812,1.358056026,0,0,35,5121,0.554761131,1.001843817,0,0,8,86154,9.333116672,22.85480257,4,0,868,79344,8.595385115,21.72516144,2,0,689,3644,0.394756798,2.1535706,0,0,105,1836,0.198895028,3.990682929,0,0,368,12895,1.39692341,7.478620105,0,0,295,1209,0.130971726,1.960240085,0,0,122,344520,37.32206695,47.8107427,24,0,1103,0,0,0,0,0,0,48918,5.299317517,25.24300099,1,0,1000,863,0.093489329,1.900969665,0,0,177,6680,0.723648575,2.383584787,0,0,61,34250,3.710323909,8.580075979,2,0,356,443708,48.06716499,212.0895159,1,-1,1036,-747,-0.096912299,0.295857501,0,-1,0,51829,5.614667967,10.30478317,4,0,368,14383,1.55811938,3.07889346,1,0,93,23111,2.503629076,13.17394104,0,0,609,1903,0.20615318,1.849678327,0,0,88,71084,7.700574152,26.03000683,2,0,1097,5673,0.614559636,2.193277506,0,0,81,15872,1.719423681,1.422360791,1,0,56,55411,6.002708266,11.05613046,4,0,368,3450,0.373740656,2.209518332,0,0,86,416,0.04506554,0.599318206,0,0,29,421749,45.68833279,116.7711016,20,0,3943,39,0.004224894,0.095871002,0,0,4,56845,6.158054382,8.038277864,4,0,180,53366,5.781172137,17.37121306,2,0,593,4028,0.436355758,2.210345982,0,0,124,-747,-0.096912299,0.295857501,0,-1,0,1551,0.168020799,0.999046118,0,0,40,422,0.045715524,0.652747178,0,0,33,1247,0.135088289,0.783119917,0,0,24,14121,1.529736757,6.884794017,0,0,363
hibernate-validator,5.4.1.Final,,,2008,139,0.069257598,0.860502877,0,0,23,272,0.13552566,0.979128405,0,0,23,35495,17.6856004,368.5436975,0,0,15753,4788,2.385650224,4.335247427,1,0,88,2157,1.074738416,2.150238137,0,0,23,414,0.206278027,1.014501262,0,0,23,0,0,0,0,0,0,85,0.042351769,0.387620048,0,0,6,243,0.121076233,0.852413872,0,0,21,622,0.309915296,0.705070896,0,0,6,9289,4.628300947,11.57585224,2,0,258,9374,4.670652715,12.12557471,0,0,277,744,0.370702541,1.900857406,0,0,50,571,0.284504235,4.116725853,0,0,178,4025,2.005480817,8.470608963,0,0,213,254,0.12655705,0.636170665,0,0,15,51543,25.68161435,39.02858037,12,0,614,0,0,0,0,0,0,5565,2.772795217,9.972504438,0,0,180,63,0.031390135,0.362101998,0,0,12,503,0.25062282,1.40978929,0,0,23,3364,1.676133533,4.877128689,0,0,103,57717,28.75784753,159.5208527,1,-1,1034,-104.1726566,-0.068579761,0.765901906,0,-1,1,5469,2.724962631,5.907401924,1,0,178,1697,0.845540608,1.923527727,0,0,20,3453,1.720478326,7.602348785,0,0,177,391,0.194818137,1.208318234,0,0,30,7497,3.735426009,10.69104113,0,0,198,1084,0.540109616,1.785970748,0,0,23,2522,1.256601893,0.812063219,1,0,20,6200,3.089187843,6.553371472,2,0,178,460,0.229197808,1.599565153,0,0,50,39,0.019431988,0.225761316,0,0,6,48257,24.04434479,54.2940971,8,0,991,4,0.001993024,0.044609907,0,0,1,8981,4.474838067,6.502567915,3,0,114,6877,3.426507225,8.919740445,1,0,160,97,0.048330842,0.329893113,0,0,6,-138.2922541,-0.091041642,0.74304905,0,-1,1,167,0.083208769,0.800393764,0,0,23,34,0.016940708,0.295718885,0,0,12,785,0.391131041,1.836535455,0,0,36,1281,0.638266069,2.835941271,0,0,46
