project,release,maven_reuse,maven_release,class_count,protectedFieldsQty_sum,protectedFieldsQty_average,protectedFieldsQty_stdev,protectedFieldsQty_median,protectedFieldsQty_min,protectedFieldsQty_max,nosi_sum,nosi_average,nosi_stdev,nosi_median,nosi_min,nosi_max,privateFieldsQty_sum,privateFieldsQty_average,privateFieldsQty_stdev,privateFieldsQty_median,privateFieldsQty_min,privateFieldsQty_max,staticFieldsQty_sum,staticFieldsQty_average,staticFieldsQty_stdev,staticFieldsQty_median,staticFieldsQty_min,staticFieldsQty_max,dit_sum,dit_average,dit_stdev,dit_median,dit_min,dit_max,lcc_sum,lcc_average,lcc_stdev,lcc_median,lcc_min,lcc_max,finalMethodsQty_sum,finalMethodsQty_average,finalMethodsQty_stdev,finalMethodsQty_median,finalMethodsQty_min,finalMethodsQty_max,totalMethodsQty_sum,totalMethodsQty_average,totalMethodsQty_stdev,totalMethodsQty_median,totalMethodsQty_min,totalMethodsQty_max,loc_sum,loc_average,loc_stdev,loc_median,loc_min,loc_max,publicMethodsQty_sum,publicMethodsQty_average,publicMethodsQty_stdev,publicMethodsQty_median,publicMethodsQty_min,publicMethodsQty_max,maxNestedBlocksQty_sum,maxNestedBlocksQty_average,maxNestedBlocksQty_stdev,maxNestedBlocksQty_median,maxNestedBlocksQty_min,maxNestedBlocksQty_max,anonymousClassesQty_sum,anonymousClassesQty_average,anonymousClassesQty_stdev,anonymousClassesQty_median,anonymousClassesQty_min,anonymousClassesQty_max,loopQty_sum,loopQty_average,loopQty_stdev,loopQty_median,loopQty_min,loopQty_max,parenthesizedExpsQty_sum,parenthesizedExpsQty_average,parenthesizedExpsQty_stdev,parenthesizedExpsQty_median,parenthesizedExpsQty_min,parenthesizedExpsQty_max,defaultFieldsQty_sum,defaultFieldsQty_average,defaultFieldsQty_stdev,defaultFieldsQty_median,defaultFieldsQty_min,defaultFieldsQty_max,comparisonsQty_sum,comparisonsQty_average,comparisonsQty_stdev,comparisonsQty_median,comparisonsQty_min,comparisonsQty_max,totalFieldsQty_sum,totalFieldsQty_average,totalFieldsQty_stdev,totalFieldsQty_median,totalFieldsQty_min,totalFieldsQty_max,variablesQty_sum,variablesQty_average,variablesQty_stdev,variablesQty_median,variablesQty_min,variablesQty_max,defaultMethodsQty_sum,defaultMethodsQty_average,defaultMethodsQty_stdev,defaultMethodsQty_median,defaultMethodsQty_min,defaultMethodsQty_max,synchronizedMethodsQty_sum,synchronizedMethodsQty_average,synchronizedMethodsQty_stdev,synchronizedMethodsQty_median,synchronizedMethodsQty_min,synchronizedMethodsQty_max,publicFieldsQty_sum,publicFieldsQty_average,publicFieldsQty_stdev,publicFieldsQty_median,publicFieldsQty_min,publicFieldsQty_max,lambdasQty_sum,lambdasQty_average,lambdasQty_stdev,lambdasQty_median,lambdasQty_min,lambdasQty_max,cbo_sum,cbo_average,cbo_stdev,cbo_median,cbo_min,cbo_max,logStatementsQty_sum,logStatementsQty_average,logStatementsQty_stdev,logStatementsQty_median,logStatementsQty_min,logStatementsQty_max,staticMethodsQty_sum,staticMethodsQty_average,staticMethodsQty_stdev,staticMethodsQty_median,staticMethodsQty_min,staticMethodsQty_max,protectedMethodsQty_sum,protectedMethodsQty_average,protectedMethodsQty_stdev,protectedMethodsQty_median,protectedMethodsQty_min,protectedMethodsQty_max,rfc_sum,rfc_average,rfc_stdev,rfc_median,rfc_min,rfc_max,returnQty_sum,returnQty_average,returnQty_stdev,returnQty_median,returnQty_min,returnQty_max,uniqueWordsQty_sum,uniqueWordsQty_average,uniqueWordsQty_stdev,uniqueWordsQty_median,uniqueWordsQty_min,uniqueWordsQty_max,wmc_sum,wmc_average,wmc_stdev,wmc_median,wmc_min,wmc_max,tryCatchQty_sum,tryCatchQty_average,tryCatchQty_stdev,tryCatchQty_median,tryCatchQty_min,tryCatchQty_max,innerClassesQty_sum,innerClassesQty_average,innerClassesQty_stdev,innerClassesQty_median,innerClassesQty_min,innerClassesQty_max,modifiers_sum,modifiers_average,modifiers_stdev,modifiers_median,modifiers_min,modifiers_max,numbersQty_sum,numbersQty_average,numbersQty_stdev,numbersQty_median,numbersQty_min,numbersQty_max,abstractMethodsQty_sum,abstractMethodsQty_average,abstractMethodsQty_stdev,abstractMethodsQty_median,abstractMethodsQty_min,abstractMethodsQty_max,visibleFieldsQty_sum,visibleFieldsQty_average,visibleFieldsQty_stdev,visibleFieldsQty_median,visibleFieldsQty_min,visibleFieldsQty_max,mathOperationsQty_sum,mathOperationsQty_average,mathOperationsQty_stdev,mathOperationsQty_median,mathOperationsQty_min,mathOperationsQty_max,finalFieldsQty_sum,finalFieldsQty_average,finalFieldsQty_stdev,finalFieldsQty_median,finalFieldsQty_min,finalFieldsQty_max,assignmentsQty_sum,assignmentsQty_average,assignmentsQty_stdev,assignmentsQty_median,assignmentsQty_min,assignmentsQty_max,synchronizedFieldsQty_sum,synchronizedFieldsQty_average,synchronizedFieldsQty_stdev,synchronizedFieldsQty_median,synchronizedFieldsQty_min,synchronizedFieldsQty_max,lcom_sum,lcom_average,lcom_stdev,lcom_median,lcom_min,lcom_max,privateMethodsQty_sum,privateMethodsQty_average,privateMethodsQty_stdev,privateMethodsQty_median,privateMethodsQty_min,privateMethodsQty_max,stringLiteralsQty_sum,stringLiteralsQty_average,stringLiteralsQty_stdev,stringLiteralsQty_median,stringLiteralsQty_min,stringLiteralsQty_max,tcc_sum,tcc_average,tcc_stdev,tcc_median,tcc_min,tcc_max
casbah,3.1.1,26,"Dec, 2016",0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
case-app,0.2.1,13,"Jan, 2015",0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
case-app,1.2.0-M3,13,"Apr, 2017",0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cats,0.9.0,240,"Jan, 2017",0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cdi-api,1.2,847,"Apr, 2014",20,25,1.25,0.786397516,1,0,4,47,2.35,8.286164753,0,0,37,0,0,0,0,0,0,27,1.35,0.988086934,1,0,4,75,3.75,1.860248993,4,0,6,0,0,0,0,0,0,1,0.05,0.223606798,0,0,1,87,4.35,1.926955603,4,0,11,703,35.15,54.19387711,15,0,241,75,3.75,0.638666374,4,0,5,11,0.55,1.431782106,0,0,5,0,0,0,0,0,0,9,0.45,1.394538218,0,0,5,5,0.25,0.638666374,0,0,2,2,0.1,0.447213595,0,0,2,22,1.1,2.863564213,0,0,10,0,0,0,0,0,0,66,3.3,6.156725035,1,0,25,0,0,0,0,0,0,2,0.1,0.447213595,0,0,2,20,1,0.794719414,1,0,4,0,0,0,0,0,0,17,0.85,2.134306247,0,0,9,0,0,0,0,0,0,10,0.5,1.277332747,0,0,4,2,0.1,0.307793506,0,0,1,99,4.95,13.28424076,0,0,56,44,2.2,6.321225731,0,0,26,881,44.05,27.17869715,35,0,114,191,9.55,19.14068414,4,0,88,3,0.15,0.489360485,0,0,2,1,0.05,0.223606798,0,0,1,3092,154.6,375.1398897,1,0,1025,31,1.55,2.999561371,1,0,14,77,3.85,0.812727701,4,0,6,0,0,0,0,0,0,16,0.8,2.706716792,0,0,12,21,1.05,0.394034463,1,0,2,84,4.2,9.116786137,1,0,38,0,0,0,0,0,0,158,7.9,9.513978635,6,0,41,10,0.5,1.432700799,0,0,6,28,1.4,4.147288271,0,0,18,0,0,0,0,0,0
chalk,1.1.3,4,"Jun, 2016",0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
checker-qual,2.5.2,58,"Jun, 2018",2905,1448,0.575059571,3.535467254,0,0,150,5222,2.073868149,10.34894294,0,0,235,531,0.210881652,1.925821636,0,0,65,4569,1.814535346,20.46888185,0,0,1000,4171,1.656473392,1.437597415,1,0,16,-311,-0.164811871,0.371109017,0,-1,0,290,0.11517077,0.946020349,0,0,26,14064,5.585385226,10.13459563,2,0,131,138058,54.82843527,148.494987,15,0,2869,8856,3.517077045,8.30633128,1,0,105,1648,0.654487689,1.1549421,0,0,8,137,0.054408261,0.347272744,0,0,6,2201,0.874106434,5.032081888,0,0,186,2928,1.162827641,8.902626038,0,0,264,447,0.177521843,0.980470348,0,0,18,5576,2.214455917,8.996582448,0,0,140,186,0.073868149,0.90253264,0,0,35,18972,7.534551231,28.01244469,1,0,1001,3261,1.295075457,2.945927671,0,0,36,327,0.129864972,1.315011304,0,0,34,2078,0.825258141,20.08611886,0,0,1000,194,0.077045274,0.820635048,0,0,21,14083,5.592930898,8.281925363,3,0,106,23,0.009134234,0.215407618,0,0,7,2573,1.021842732,4.79619596,0,0,105,700,0.277998411,1.644557501,0,0,42,15236,6.050833995,18.95224844,1,0,371,9514,3.778395552,12.27635602,0,0,192,103980,41.29467832,89.06393839,12,0,1073,29480,11.70770453,31.27972957,3,0,526,547,0.217235902,1.549882019,0,0,42,1259,0.5,1.433674692,0,0,18,160683,63.81374106,245.2948212,1,0,1025,13979,5.551628276,42.81997865,0,0,1455,12884,5.116759333,9.156079907,2,0,111,2143,0.85107228,20.01287976,0,0,1000,4956,1.968228753,13.24416136,0,0,357,1663,0.660444797,2.815381464,0,0,68,24202,9.611596505,32.97188302,1,0,862,0,0,0,0,0,0,126888,50.3923749,303.0624726,1,0,7767,1247,0.495234313,2.476223271,0,0,58,13084,5.19618745,24.11096289,1,0,1000,-311,-0.164811871,0.371109017,0,-1,0
checkstyle,5.5,19,"Nov, 2011",1032,558,0.540697674,1.603309713,0,0,21,4111,3.983527132,12.12410445,0,0,154,131,0.126937984,0.539758832,0,0,4,1150,1.114341085,3.413970805,0,0,67,1679,1.626937984,1.668842425,1,0,31,-241,-0.299007444,0.458107376,0,-1,0,10,0.009689922,0.124197134,0,0,3,5333,5.167635659,8.573072625,2,0,88,44624,43.24031008,80.5088714,16,0,1125,3668,3.554263566,7.035379709,1,0,82,490,0.474806202,0.877206218,0,0,8,190,0.184108527,0.854621362,0,0,12,603,0.584302326,2.208498201,0,0,26,135,0.130813953,0.736560884,0,0,9,41,0.039728682,0.247922745,0,0,2,314,0.304263566,2.233346873,0,0,62,8,0.007751938,0.087745689,0,0,1,9274,8.986434109,19.27356306,2,0,227,834,0.808139535,3.534232155,0,0,61,61,0.059108527,0.822450727,0,0,24,354,0.343023256,1.224772497,0,0,12,324,0.313953488,2.588918987,0,0,51,2565,2.485465116,3.982719947,1,0,41,110,0.106589147,1.987418036,0,0,62,354,0.343023256,1.376880521,0,0,26,289,0.28003876,0.6398266,0,0,12,5264,5.100775194,11.63348787,0,0,160,978,0.947674419,1.988613176,0,0,18,35313,34.21802326,40.70260652,17,0,335,7822,7.579457364,14.21156086,3,0,241,549,0.531976744,2.112487643,0,0,26,468,0.453488372,1.575074842,0,0,24,21897,21.21802326,161.9079918,1,0,2064,7099,6.878875969,36.42703747,0,0,978,4917,4.764534884,8.214143015,2,0,83,420,0.406976744,2.776000404,0,0,67,7151,6.929263566,31.54575505,0,0,509,283,0.274224806,0.932958531,0,0,12,9502,9.207364341,21.73416732,2,0,255,0,0,0,0,0,0,41492,40.20542636,188.8213902,1,0,3828,542,0.525193798,1.846522661,0,0,26,29286,28.37790698,159.8624852,0,0,4097,-241,-0.299007444,0.458107376,0,-1,0
chill,0.3.6,29,"Mar, 2014",39,26,0.666666667,2.030469654,0,0,12,70,1.794871795,5.713232504,0,0,33,24,0.615384615,2.219712933,0,0,11,77,1.974358974,4.100623698,1,0,20,68,1.743589744,0.751067616,2,0,5,0,0,0,0,0,0,3,0.076923077,0.354268363,0,0,2,199,5.102564103,4.794705807,4,0,28,2489,63.82051282,142.898726,26,0,799,182,4.666666667,3.915780041,3,0,22,36,0.923076923,1.155868673,1,0,5,8,0.205128205,0.731957979,0,0,4,25,0.641025641,1.754500671,0,0,8,72,1.846153846,10.23034306,0,0,64,7,0.179487179,0.601392895,0,0,3,50,1.282051282,3.940002124,0,0,24,0,0,0,0,0,0,211,5.41025641,15.02054374,2,0,92,1,0.025641026,0.160128154,0,0,1,2,0.051282051,0.320256308,0,0,2,39,1,3.620119219,0,0,20,0,0,0,0,0,0,225,5.769230769,2.85123739,6,0,14,0,0,0,0,0,0,54,1.384615385,4.368640549,0,0,27,9,0.230769231,0.626667815,0,0,3,269,6.897435897,9.040245897,4,0,45,142,3.641025641,5.74221294,2,0,35,2183,55.97435897,110.8556404,26,0,693,387,9.923076923,20.43266814,5,0,128,61,1.564102564,5.461804559,0,0,34,5,0.128205128,0.469012803,0,0,2,3126,80.15384615,276.3310885,1,0,1025,978,25.07692308,151.3628239,0,0,946,193,4.948717949,4.08430061,4,0,22,20,0.512820513,1.144133661,0,0,6,98,2.512820513,12.11321982,0,0,75,62,1.58974359,4.108514578,0,0,20,302,7.743589744,25.53296935,2,0,158,0,0,0,0,0,0,435,11.15384615,39.15256156,3,0,242,7,0.179487179,0.969856063,0,0,6,63,1.615384615,4.404635026,0,0,20,0,0,0,0,0,0
chill-java,0.3.6,20,"Mar, 2014",39,26,0.666666667,2.030469654,0,0,12,70,1.794871795,5.713232504,0,0,33,24,0.615384615,2.219712933,0,0,11,77,1.974358974,4.100623698,1,0,20,68,1.743589744,0.751067616,2,0,5,0,0,0,0,0,0,3,0.076923077,0.354268363,0,0,2,199,5.102564103,4.794705807,4,0,28,2489,63.82051282,142.898726,26,0,799,182,4.666666667,3.915780041,3,0,22,36,0.923076923,1.155868673,1,0,5,8,0.205128205,0.731957979,0,0,4,25,0.641025641,1.754500671,0,0,8,72,1.846153846,10.23034306,0,0,64,7,0.179487179,0.601392895,0,0,3,50,1.282051282,3.940002124,0,0,24,0,0,0,0,0,0,211,5.41025641,15.02054374,2,0,92,1,0.025641026,0.160128154,0,0,1,2,0.051282051,0.320256308,0,0,2,39,1,3.620119219,0,0,20,0,0,0,0,0,0,225,5.769230769,2.85123739,6,0,14,0,0,0,0,0,0,54,1.384615385,4.368640549,0,0,27,9,0.230769231,0.626667815,0,0,3,269,6.897435897,9.040245897,4,0,45,142,3.641025641,5.74221294,2,0,35,2183,55.97435897,110.8556404,26,0,693,387,9.923076923,20.43266814,5,0,128,61,1.564102564,5.461804559,0,0,34,5,0.128205128,0.469012803,0,0,2,3126,80.15384615,276.3310885,1,0,1025,978,25.07692308,151.3628239,0,0,946,193,4.948717949,4.08430061,4,0,22,20,0.512820513,1.144133661,0,0,6,98,2.512820513,12.11321982,0,0,75,62,1.58974359,4.108514578,0,0,20,302,7.743589744,25.53296935,2,0,158,0,0,0,0,0,0,435,11.15384615,39.15256156,3,0,242,7,0.179487179,0.969856063,0,0,6,63,1.615384615,4.404635026,0,0,20,0,0,0,0,0,0
circe-core,0.13.0,283,"Feb, 2020",0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
